mapping,ontology,template
http://mappings.dbpedia.org/server/mappings/en/Infobox_actor_voice,http://dbpedia.org/ontology/VoiceActor,infobox actor voice
http://mappings.dbpedia.org/server/mappings/en/Infobox_Olympics_Canada,http://dbpedia.org/ontology/OlympicResult,infobox olympics canada
http://mappings.dbpedia.org/server/mappings/en/Infobox_North_American_Automobile,http://dbpedia.org/ontology/Automobile,infobox north american automobile
http://mappings.dbpedia.org/server/mappings/en/Infobox_Cambridge_college,http://dbpedia.org/ontology/College,infobox cambridge college
http://mappings.dbpedia.org/server/mappings/en/NFL_player,http://dbpedia.org/ontology/AmericanFootballPlayer,nfl player
http://mappings.dbpedia.org/server/mappings/en/Texas-school-stub,http://dbpedia.org/ontology/EducationalInstitution,texas school stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_religious_building,http://dbpedia.org/ontology/ReligiousBuilding,infobox religious building
http://mappings.dbpedia.org/server/mappings/en/Infobox_bus_transit,http://dbpedia.org/ontology/PublicTransitSystem,infobox bus transit
http://mappings.dbpedia.org/server/mappings/en/Infobox_chef,http://dbpedia.org/ontology/Chef,infobox chef
http://mappings.dbpedia.org/server/mappings/en/Infobox_public_service,http://dbpedia.org/ontology/PublicService,infobox public service
http://mappings.dbpedia.org/server/mappings/en/Infobox_protein_family,http://dbpedia.org/ontology/Protein,infobox protein family
http://mappings.dbpedia.org/server/mappings/en/UK-Christian-monastery-stub,http://dbpedia.org/ontology/ReligiousBuilding,uk christian monastery stub
http://mappings.dbpedia.org/server/mappings/en/Scotland-MP-stub,http://dbpedia.org/ontology/MemberOfParliament,scotland mp stub
http://mappings.dbpedia.org/server/mappings/en/Asia-newspaper-stub,http://dbpedia.org/ontology/Newspaper,asia newspaper stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_cycling_race,http://dbpedia.org/ontology/CyclingRace,infobox cycling race
http://mappings.dbpedia.org/server/mappings/en/Infobox_soap_character_2,http://dbpedia.org/ontology/SoapCharacter,infobox soap character 2
http://mappings.dbpedia.org/server/mappings/en/Infobox_city_Japan,http://dbpedia.org/ontology/City,infobox city japan
http://mappings.dbpedia.org/server/mappings/en/Infobox_Canadian_provincial_riding,http://dbpedia.org/ontology/AdministrativeRegion,infobox canadian provincial riding
http://mappings.dbpedia.org/server/mappings/en/Infobox_Swiss_town,http://dbpedia.org/ontology/Settlement,infobox swiss town
http://mappings.dbpedia.org/server/mappings/en/Infobox_games,http://dbpedia.org/ontology/SportsEvent,infobox games
http://mappings.dbpedia.org/server/mappings/en/Musician-stub,http://dbpedia.org/ontology/MusicalArtist,musician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_royalty,http://dbpedia.org/ontology/Royalty,infobox royalty
http://mappings.dbpedia.org/server/mappings/en/Saint-stub,http://dbpedia.org/ontology/Saint,saint stub
http://mappings.dbpedia.org/server/mappings/en/US-Olympic-medalist-stub,http://dbpedia.org/ontology/Athlete,us olympic medalist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_sea,http://dbpedia.org/ontology/Sea,infobox sea
http://mappings.dbpedia.org/server/mappings/en/Infobox_religious_biography,http://dbpedia.org/ontology/Religious,infobox religious biography
http://mappings.dbpedia.org/server/mappings/en/Infobox_NHL_team,http://dbpedia.org/ontology/HockeyTeam,infobox nhl team
http://mappings.dbpedia.org/server/mappings/en/Paralympic-medalist-stub,http://dbpedia.org/ontology/Athlete,paralympic medalist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_WNBA_biography,http://dbpedia.org/ontology/BasketballPlayer,infobox wnba biography
http://mappings.dbpedia.org/server/mappings/en/Infobox_rugby_league_biography,http://dbpedia.org/ontology/RugbyPlayer,infobox rugby league biography
http://mappings.dbpedia.org/server/mappings/en/Infobox_Railway_Station,http://dbpedia.org/ontology/Station,infobox railway station
http://mappings.dbpedia.org/server/mappings/en/Infobox_government_agency,http://dbpedia.org/ontology/GovernmentAgency,infobox government agency
http://mappings.dbpedia.org/server/mappings/en/Poem-stub,http://dbpedia.org/ontology/Poem,poem stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_artwork,http://dbpedia.org/ontology/Artwork,infobox artwork
http://mappings.dbpedia.org/server/mappings/en/Infobox_broadcasting_network,http://dbpedia.org/ontology/BroadcastNetwork,infobox broadcasting network
http://mappings.dbpedia.org/server/mappings/en/ScottCoast-geo-stub,http://dbpedia.org/ontology/Place,scottcoast geo stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_motorcycle_rider,http://dbpedia.org/ontology/MotorcycleRider,infobox motorcycle rider
http://mappings.dbpedia.org/server/mappings/en/Infobox_restaurant,http://dbpedia.org/ontology/Restaurant,infobox restaurant
http://mappings.dbpedia.org/server/mappings/en/Infobox_monarch,http://dbpedia.org/ontology/Monarch,infobox monarch
http://mappings.dbpedia.org/server/mappings/en/Music-genre-stub,http://dbpedia.org/ontology/MusicGenre,music genre stub
http://mappings.dbpedia.org/server/mappings/en/Canada-tv-prog-stub,http://dbpedia.org/ontology/TelevisionShow,canada tv prog stub
http://mappings.dbpedia.org/server/mappings/en/NewZealand-bio-stub,http://dbpedia.org/ontology/Person,newzealand bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_television_film,http://dbpedia.org/ontology/Film,infobox television film
http://mappings.dbpedia.org/server/mappings/en/Norway-mayor-stub,http://dbpedia.org/ontology/Mayor,norway mayor stub
http://mappings.dbpedia.org/server/mappings/en/France-composer-stub,http://dbpedia.org/ontology/MusicalArtist,france composer stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_airline,http://dbpedia.org/ontology/Airline,infobox airline
http://mappings.dbpedia.org/server/mappings/en/UK-guitarist-stub,http://dbpedia.org/ontology/Guitarist,uk guitarist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Governor-General,http://dbpedia.org/ontology/Governor,infobox governor general
http://mappings.dbpedia.org/server/mappings/en/Infobox_MLB_player,http://dbpedia.org/ontology/BaseballPlayer,infobox mlb player
http://mappings.dbpedia.org/server/mappings/en/Infobox_Austrian_district,http://dbpedia.org/ontology/AdministrativeRegion,infobox austrian district
http://mappings.dbpedia.org/server/mappings/en/PRChina-athletics-bio-stub,http://dbpedia.org/ontology/Athlete,prchina athletics bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_river,http://dbpedia.org/ontology/River,infobox river
http://mappings.dbpedia.org/server/mappings/en/Cricket-team-stub,http://dbpedia.org/ontology/CricketTeam,cricket team stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_football_league,http://dbpedia.org/ontology/SoccerLeague,infobox football league
http://mappings.dbpedia.org/server/mappings/en/Infobox_NFL_player,http://dbpedia.org/ontology/AmericanFootballPlayer,infobox nfl player
http://mappings.dbpedia.org/server/mappings/en/Infobox_Palestine_municipality,http://dbpedia.org/ontology/Settlement,infobox palestine municipality
http://mappings.dbpedia.org/server/mappings/en/Germany-politician-stub,http://dbpedia.org/ontology/Politician,germany politician stub
http://mappings.dbpedia.org/server/mappings/en/Classical-pianist-stub,http://dbpedia.org/ontology/ClassicalMusicArtist,classical pianist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_region_of_Italy,http://dbpedia.org/ontology/AdministrativeRegion,infobox region of italy
http://mappings.dbpedia.org/server/mappings/en/UK-nonfiction-writer-stub,http://dbpedia.org/ontology/Writer,uk nonfiction writer stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Greek_Isles,http://dbpedia.org/ontology/AdministrativeRegion,infobox greek isles
http://mappings.dbpedia.org/server/mappings/en/Infobox_Prefecture_Japan,http://dbpedia.org/ontology/AdministrativeRegion,infobox prefecture japan
http://mappings.dbpedia.org/server/mappings/en/Infobox_attraction,http://dbpedia.org/ontology/AmusementParkAttraction,infobox attraction
http://mappings.dbpedia.org/server/mappings/en/Fashion-stub,http://dbpedia.org/ontology/Fashion,fashion stub
http://mappings.dbpedia.org/server/mappings/en/US-composer-20thC-stub,http://dbpedia.org/ontology/MusicalArtist,us composer 20thc stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_cricket_team,http://dbpedia.org/ontology/CricketTeam,infobox cricket team
http://mappings.dbpedia.org/server/mappings/en/Infobox_cricketer_biography,http://dbpedia.org/ontology/Cricketer,infobox cricketer biography
http://mappings.dbpedia.org/server/mappings/en/China-politician-stub,http://dbpedia.org/ontology/Politician,china politician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_President,http://dbpedia.org/ontology/President,infobox president
